note_id	date	type	note
NOTE-0090	02/19	product_detail	Chromic Acid is our easiest sell — customers barely negotiate. Makes me wonder if we're priced too low. Might have room to push pricing up 5-10% without losing anyone. — Maria G.
NOTE-0131	2026-03-09	sales_feedback	Disagree with the view that we should raise the oxidizer line. My territory is very competitive and I'm already losing deals. Any increase and I'll lose more. — Kevin T.
NOTE-0100	01/07/26	size_specific	Can we restructure hypo pricing by format? Right now the per-unit cost barely drops from 1 gal to 5 gal. We should incentivize the larger format — higher total $ per order, lower handling cost for us. — Laura N.
NOTE-0037	2025-12-18	market_intel	Industry report says pigments demand is up 9% YoY driven by construction. Supply is tight — expect continued price pressure from suppliers.
NOTE-0098	2025-11-04	product_detail	Nothing major to report on Stoddard solvent. Steady product, steady demand. Standard cost-plus repricing should be fine here. — Nicole F.
NOTE-0106	January 26	seasonal	Last year we missed the window to adjust water treatment chemicals pricing before summer municipal demand. Competitor raised prices 8% and we left money on the table. Let's not make that mistake again.
NOTE-0086	03/04	product_detail	Diethyl Ether is our easiest sell — customers barely negotiate. Makes me wonder if we're priced too low. Might have room to push pricing up 5-10% without losing anyone. — Emily V.
NOTE-0081	03/07/26	internal_ops	Warehouse note: we're sitting on 6 months of bases inventory. Some of it is approaching shelf life. Can we do a push promotion or temporary price reduction to move it? Storage costs are adding up.
NOTE-0093	09-Jan-2026	product_detail	Ultramarine Blue is performing as expected. No major competitive pressure. Recommend standard annual increase. — Tom B.
NOTE-0103	11/25/2025	size_specific	Pricing disconnect on BHT: our small packs (500mL/500g) seem competitively priced but the drums are way too expensive. Chesapeake Seafood Processing buys the small format from us but goes to Brenntag for bulk. — Maria G.
NOTE-0122	Dec 24, 2025	sales_feedback	I think we need to raise prices on TiO2 and pigments. We're leaving margin on the table and customers aren't pushing back when I quote. — Laura N.
NOTE-0095	11/04/25	product_detail	sulfuric is performing as expected. No major competitive pressure. Recommend standard annual increase. — Chris W.
NOTE-0004	Oct 21	lost_deal	FYI Atlantic Marine Coatings told me they got a quote from Omya on bicarb that was significantly lower than ours. They haven't switched yet but they're shopping. — Mike R.
NOTE-0010	12/05/25	lost_deal	Sterling Automotive switched to IMCD for PAC carbon. Price gap was about $14/unit on small packs. We need to be more competitive here or we'll keep losing. — Chris W.
NOTE-0069	13-Dec-2025	regulatory	REACH compliance update: several of our surfactants need re-registration in EU. Cost of compliance is ~$50K/product. Need to factor this into export pricing for SLES, SLS, and the Tween products.
NOTE-0013	10/28	lost_deal	Bad news — Evergreen Pulp & Paper is moving their Petroleum Ether business to Kolmar Group. They showed me the competing quote, we were 12% higher. I think we can win it back if we sharpen pricing on the next contract cycle. — Dan J.
NOTE-0021	10/06/25	customer_complaint	Dixie Chemical Blending is threatening to put Sodium Silicate out for bid if we don't come down on price. They're buying 4 pallets/month. Worth keeping. — Mark A.
NOTE-0051	2025-11-21	strategic_directive	From GM: We need to grow market share in plasticizers. Willing to take a 5-point margin hit on key accounts to win volume. Prioritize the top 20 accounts. Make sure the new pricing reflects this.
NOTE-0009	November 06	lost_deal	Lost the Northeast Water Services account on Maleic Acid. Chemours came in 18% below us. Customer said they like our service but can't justify the premium anymore. — Dave P.
NOTE-0011	25-Nov-2025	lost_deal	Bad news — Delta Plastics is moving their Tartaric Acid business to Univar Solutions. They showed me the competing quote, we were 14% higher. I think we can win it back if we sharpen pricing on the next contract cycle. — Mark A.
NOTE-0068	Dec 22, 2025	regulatory	Workplace exposure limits for NMP are being lowered. Some customers switching to alternative solvents. Watch for volume decline — might need to raise unit price to maintain margin on lower throughput.
NOTE-0083	March 16	internal_ops	Logistics team says freight costs for pigments are up 12% due to the new carrier contract. Particularly impactful on the heavy/bulk formats. We've been absorbing this for 3 months — time to pass it through?
NOTE-0104	11/25/2025	size_specific	Pricing disconnect on Zinc Sulfate: our small packs (500mL/500g) seem competitively priced but the drums are way too expensive. Golden Gate Biotech buys the small format from us but goes to TER Group for bulk. — Chris W.
NOTE-0085	23-Nov-2025	product_detail	Cyclohexane is our easiest sell — customers barely negotiate. Makes me wonder if we're priced too low. Might have room to push pricing up 5-10% without losing anyone. — Kevin T.
NOTE-0036	2026-03-07	market_intel	Industry report says municipal chemicals demand is up 8% YoY driven by construction. Supply is tight — expect continued price pressure from suppliers.
NOTE-0113	October 08	vague	Our pricing is all over the place on the commodity products. Some things we're the cheapest in the market, others we're 30% above. No consistency. — Emily V.
NOTE-0043	27-Feb-2026	supply_chain	Supply alert: our primary Hydrofluoric Acid supplier had a force majeure declaration. Allocations in place, expect spot prices to spike. Lock in what we can at current costs.
NOTE-0040	Nov 30	supply_chain	Supply alert: our primary Cetrimonium Chloride supplier had a force majeure declaration. Allocations in place, expect spot prices to spike. Lock in what we can at current costs.
NOTE-0084	11/03/2025	product_detail	We win almost every EtOAc quote we send out. Either we have the best product or we're the cheapest. Given our margins I think there's room to raise. — Chris W.
NOTE-0030	Dec 27, 2025	market_intel	Heard at the distributor conference that caustics pricing is softening across the board. Multiple suppliers cutting list prices 17%. We might be able to negotiate better costs next quarter.
NOTE-0023	2026-01-11	customer_complaint	Copper Ridge Mining purchasing called about Palm Oil. They said 'your competitor offered us the same product for 20% less, what can you do?' Didn't name which competitor. — Chris W.
NOTE-0064	Dec 18, 2025	regulatory	California Prop 65 update affects several of our pigments products. Need to add warning labels which costs ~$0.50/unit. Should we absorb or pass through?
NOTE-0039	29-Nov-2025	supply_chain	Supply alert: our primary caustic potash supplier had a force majeure declaration. Allocations in place, expect spot prices to spike. Lock in what we can at current costs.
NOTE-0007	Jan 12, 2026	lost_deal	FYI Sunbelt Pool Supply told me they got a quote from Chemours on bicarb that was significantly lower than ours. They haven't switched yet but they're shopping. — Mike R.
NOTE-0048	13-Dec-2025	strategic_directive	From Head of Commercial: We need to grow market share in water treatment chemicals. Willing to take a 5-point margin hit on key accounts to win volume. Prioritize the top 20 accounts. Make sure the new pricing reflects this.
NOTE-0065	02/11/2026	regulatory	EU biocide regulation update: CMIT/MIT restrictions tightening. Our Kathon-based biocide may need reformulation. Costs will go up 15-20%. Specialty biocides like OIT should see increased demand — consider raising price there too.
NOTE-0035	10/23/2025	market_intel	Word from our our oil line suppliers is that they're planning a 9% increase effective Q1. Haven't seen official letters yet but want to flag for the pricing review.
NOTE-0099	Nov 06, 2025	size_specific	Customer feedback on Hydrofluoric Acid: the 5-gal is our sweet spot. Small bottles, we're overpriced vs Amazon/Fisher. Drums, we lose to Omya on price. Middle ground is where we compete. — Mike R.
NOTE-0123	03/30/26	sales_feedback	Disagree with the view that we should raise TiO2 and pigments. My territory is very competitive and I'm already losing deals. Any increase and I'll lose more. — Kevin T.
NOTE-0057	10/25/2025	volume_opportunity	Golden Gate Biotech expanding their plant — going to need 21 totes/quarter of epoxy resin starting Q2. They want a 3-year contract. If we lock them in now at a competitive price, this is huge. — Laura N.
NOTE-0080	December 06	internal_ops	Inventory alert: surfactants stock is critically low. We've been backordering for 3 weeks. When supply comes back in, suggest we hold pricing steady — customers will pay more for availability right now.
NOTE-0105	13-Mar-2026	seasonal	Reminder that demand for resins peaks during construction season (April-September). Historically we raise prices 3-5% going into peak and customers accept it. Worth factoring into the annual reprice. — Amanda L.
NOTE-0073	16-Jan-2026	cross_sell	Southern Paint Co buys polymers, bases and commodity salts from us. Total wallet is $307K/year. If we lose them on one category they'll probably move everything. Need holistic pricing. — Mike R.
NOTE-0130	2025-12-10	sales_feedback	I think we need to raise prices on the oxidizer line. We're leaving margin on the table and customers aren't pushing back when I quote. — Nicole F.
NOTE-0074	Dec 04	cross_sell	Southern Paint Co buys water treatment chemicals, polymers and salts from us. Total wallet is $235K/year. If we lose them on one category they'll probably move everything. Need holistic pricing. — Tom B.
NOTE-0020	07-Dec-2025	customer_complaint	Cascade Paper is threatening to put sodium bicarb out for bid if we don't come down on price. They're buying 2 totes/week. Worth keeping. — Mark A.
NOTE-0042	12/04	supply_chain	Just got word that the Boric Acid plant in Texas is down for unplanned maintenance. 4-6 week outage expected. This will tighten supply across the market. We should be thinking about price adjustments now.
NOTE-0127	Mar 11	sales_feedback	Disagree with the view that we should raise pigments. My territory is very competitive and I'm already losing deals. Any increase and I'll lose more. — Sarah K.
NOTE-0031	28-Mar-2026	market_intel	Heard at the distributor conference that the WT line pricing is softening across the board. Multiple suppliers cutting list prices 10%. We might be able to negotiate better costs next quarter.
NOTE-0072	Nov 25, 2025	cross_sell	Reminder that Northeast Water Services evaluates us as a package deal across our additive range, salts. Last year we almost lost the account because our our additive range prices were high even though salts was competitive. Need to balance. — Nicole F.
NOTE-0075	2026-03-12	cross_sell	Reminder that National Food Ingredients evaluates us as a package deal across the oxidizer line, our specialty products, our surfactant range. Last year we almost lost the account because our the oxidizer line prices were high even though our specialty products was competitive. Need to balance. — Dave P.
NOTE-0012	2025-10-24	lost_deal	FYI Heritage Soap Co told me they got a quote from Kolmar Group on Diethyl Ether that was significantly lower than ours. They haven't switched yet but they're shopping. — Steve C.
NOTE-0066	20-Oct-2025	regulatory	California Prop 65 update affects several of our the oxidizer line products. Need to add warning labels which costs ~$0.50/unit. Should we absorb or pass through?
NOTE-0079	December 01	internal_ops	Warehouse note: we're sitting on 6 months of solvents inventory. Some of it is approaching shelf life. Can we do a push promotion or temporary price reduction to move it? Storage costs are adding up.
NOTE-0054	2026-01-03	volume_opportunity	Big opportunity: Pacific Adhesives is putting out an RFQ for Tartaric Acid, $169K/year. We need to be sharp on pricing to win this. Current margins are too high for this kind of volume deal. — Jennifer H.
NOTE-0053	06-Feb-2026	strategic_directive	From Head of Commercial: We need to grow market share in caustics. Willing to take a 5-point margin hit on key accounts to win volume. Prioritize the top 20 accounts. Make sure the new pricing reflects this.
