sku	product_name	category	prev_year_cost	prev_year_price	prev_year_margin	new_cost	prev_year_sales	win_rate
ACD-SA-50LB-IND-2	Salicylic Acid, Industrial Grade, 50 lb Bag	Acids	324.75	479.97	0.3234	334.05	95376.52	0.536
SOL-DIME-5G-IND	Dimethylformamide (DMF), Industrial Grade, 5 Gal	Solvents	240.37	309.81	0.2241	297.02	0	
ACD-FA-1G-TECH	Formic Acid (88%), 1 Gal	Acids	42.16	68.54	0.3849	53.16	106987.65	0.3094
ACD-BA-25KG-IND	Boric Acid, Industrial Grade, 25 kg Bag	Acids	161.81	245.93	0.342	206.89	624668.74	0.5602
BAS-TRIE-55G-TECH	Triethanolamine (TEA), 55 Gal Drum	Bases & Alkalis	1777.49	2382.14	0.2538	1887.27	1081600.08	0.2547
SRF-AP-1G-TECH	Alkyl Polyglucoside (APG), 1 Gal	Surfactants & Emulsifiers	59.63	99.5	0.4007	61.55	0	
ACD-CA-500G-IND	Citric Acid, Industrial Grade, 500 g	Acids	5.73	7.5	0.2359	5.88	0	
BAS-SM-2P5KG-TECH	Sodium Metasilicate, 2.5 kg	Bases & Alkalis	16.12	24.6	0.3446	16.85	0	
SAL-SS-25KG-IND	Sodium Sulfate (Anhydrous), Industrial Grade, 25 kg Bag	Salts & Inorganic Compounds	77.54	100.17	0.2259	76.83	610697.87	0.3512
ADD-SA-2P5KG-TECH	Slip Agent (Erucamide), 2.5 kg	Plasticizers & Additives	41.6	62.21	0.3312	38.44	0	
ACD-SA-500G-TECH	Stearic Acid, 500 g	Acids	5.41	8.27	0.3457	5.5	0	
SOL-MS-55G-TECH	Mineral Spirits, 55 Gal Drum	Solvents	986.43	1269.46	0.223	996.71	16012.92	0.5924
SOL-DIME-1G-TECH	Dimethylformamide (DMF), 1 Gal	Solvents	55.3	73.56	0.2482	68.33	0	
SOL-IA-1G-IND	Isopropyl Alcohol, Industrial Grade, 1 Gal	Solvents	26.45	37.22	0.2893	29.65	293715.93	0.722
WTR-FC-500ML-TECH	Ferric Chloride (40%), 500 mL	Water Treatment	2.57	3.98	0.3537	2.98	0	
